id,type,to_keep,authors_clean,year,title,source
W2768095095,article,1,"Daniel Major‐Smith, Philip Schlaepfer, Katie Major-Smith, Mark Dyble, Abigail E. Page, James Thompson, Nikhil Chaudhary, Gül Deniz Salalι, Ruth Mace, Leonora H. Astete, Marilyn Ngales, Lucio Vinicius, Andrea Bamberg Migliano",2017,Cooperation and the evolution of hunter-gatherer storytelling,Nature Communications
W2068250825,article,1,"Jerome H. Barkow, Dan Sperber",1998,Explaining culture: a naturalistic approach.,Journal Of The Royal Anthropological Institute
W2595136367,review,1,"Joseph Stubbersfield, Emma Flynn, Jamshid J. Tehrani",2017,Cognitive evolution and the transmission of popular narratives: a literature review and application to urban legends,Evolutionary Studies In Imaginative Culture
W2073373407,article,1,"Joseph Stubbersfield, Jamshid J. Tehrani, Emma Flynn",2014,"Serial killers, spiders and cybersex: social and survival information bias in the transmission of urban legends",British Journal Of Psychology
W2035455310,article,1,Michelle Scalise Sugiyama,2001,"Food, foragers, and folklore: the role of narrative in human subsistence",Evolution And Human Behavior
W2599990637,article,1,Michelle Scalise Sugiyama,2017,Oral storytelling as evidence of pedagogy in forager societies,Frontiers In Psychology
W2115116494,article,1,"Stith Thompson, C. W. Von Sydow",1951,Selected papers on folklore,Journal Of American Folklore
W2165352038,article,1,"Jamshid J. Tehrani, Quan Nguyen, Teemu Roos",2015,Oral fairy tale or literary fake? Investigating the origins of<i>little red riding hood</i>using phylogenetic network analysis,Digital Scholarship In The Humanities
W2104131505,article,1,Jamshid J. Tehrani,2013,The phylogeny of little red riding hood,Plos One
W2122848636,book,1,"Vladimir Propp, Svatava Pirkova-Jakobson, Laurence Scott",1958,Morphology of the folktale,Internet Archive (Internet Archive)
W2339332000,article,0,J. Barre Toelken,1969,A descriptive nomenclature for the study of folklore part i: the process of tradition,Western Folklore
W1498862882,book,0,Edward B. Tylor,1974,"Primitive culture: researches into the development of mythology, philosophy, religion, art, and custom",Internet Archive (Internet Archive)
W1991591840,article,1,Lee Haring,2006,The types of international folktales: a classification and bibliography. Based on the system of antti aarne and stith thompson (review),Marvels & Tales
W4248788496,book,1,W.E.A. van Beek,2016,The transmission of kapsiki-higi folktales over two generations,Palgrave Macmillan Us Ebooks
W2009503271,article,1,Polly Wiessner,2014,Embers of society: firelight talk among the ju/’hoansi bushmen,Proceedings Of The National Academy Of Sciences
W4366525144,article,1,James Wafer,2023,The origins of the world’s mythologies,International Journal Of Environmental Studies
W2071641974,article,1,"Kimberley Reynolds, Jack Zipes",2008,Why fairy tales stick: the evolution and relevance of a genre,The Modern Language Review
W3200530242,article,1,"Gabriel Aguirre‐Fernández, Chiara Barbieri, Anna Graff, José Pérez de Arce, Hyram Moreno, Marcelo R. Sánchez‐Villagra",2021,Cultural macroevolution of musical instruments in south america,Humanities And Social Sciences Communications
W2178925068,book,0,Simha Arom,2019,Polyphonies et polyrythmies instrumentales d'afrique centrale. Structure et méthodologie,Hal (Le Centre Pour La Communication Scientifique Directe)
W2010584634,article,0,Simha Arom,1988,Systèmes musicaux en afrique subsaharienne,Canadian University Music Review
W3036962509,article,0,"Nankara Clison, Ndigmbayel Reoular Urbain",2020,Les vestiges du bet : une élaboration méthodique et didactique qui témoigne de l’occupation humaine du nord du tchad,Open Access Publishing Group - European Journal Of Special Education Research
W2095112598,article,0,"Mahé Ben Hamed, Pierre Darlu, Nathalie Vallée",2005,On cladistic reconstruction of linguistic trees through vowel data,Journal Of Quantitative Linguistics
W3183122840,article,0,"R. Alexander Bentley, William R. Moritz, Damian J. Ruck, Michael J. O’Brien",2021,Evolution of initiation rites during the austronesian dispersal,Science Progress
W2165211643,review,0,"Monique Borgerhoff Mulder, Charles L. Nunn, Mary C. Towner",2006,Cultural macroevolution and the transmission of traits,Evolutionary Anthropology Issues News And Reviews
W4377006523,article,0,Laure Desutter‐Grandcolas,1998,"Pulse duration and the effectiveness of acoustic communication in crickets (orthoptera: grylloidea): the case of <i>paragryllodes campanella</i>, sp. N. (Phalangopsidae)",Annales De La Société Entomologique De France (N S )
W1964355661,article,1,Chris Buckley,2012,Investigating cultural evolution using phylogenetic analysis: the origins and descent of the southeast asian tradition of warp ikat weaving,Plos One
W2118125849,review,0,"Joseph Henrich, Richard McElreath",2003,The evolution of cultural evolution,Evolutionary Anthropology Issues News And Reviews
W1988519712,article,0,"Bernard Vandermeersch, Ofer Bar‐Yosef",1988,Evolution biologique et culturelle des populations du levant au paléolithique moyen. Les données récentes de kébara et qafzeh,Paléorient
W2108223142,article,0,"Mark Collard, Stephen Shennan, Jamshid J. Tehrani",2005,"Branching, blending, and the evolution of cultural similarities and differences among human populations",Evolution And Human Behavior
W2737859984,article,0,"Nicole Creanza, Oren Kolodny, Marcus W. Feldman",2017,Cultural evolutionary theory: how culture evolves and why it matters,Proceedings Of The National Academy Of Sciences
W2103840948,article,0,"Thomas E. Currie, Simon J. Greenhill, Ruth Mace",2010,Is horizontal transmission really a problem for phylogenetic comparative methods? A simulation study using continuous cultural traits,Philosophical Transactions Of The Royal Society B Biological Sciences
W2259893993,preprint,1,Julien d’Huy,2012,"Un ours dans les étoiles, recherche phylogénétique sur un mythe préhistorique.",Hal (Le Centre Pour La Communication Scientifique Directe)
W4231087987,article,0,"Susanne Fürniß, Éric de Dampierre",1994,Harpes zandé,Cahiers De Musiques Traditionnelles
W1554076494,article,0,Michael J. Cuyjet,2007,African american men in college,Choice Reviews Online
W2977321370,article,0,"Alexandre Vincent, Sibylle Emerit, Violaine Jeammet, Hélène Guichard, Nele Ziegler, Ariane Thomas, Christophe Vendries, Sylvain Perrot",2017,Musiques ! Échos de l’antiquité,Hal (Le Centre Pour La Communication Scientifique Directe)
W2156304865,article,0,Jos Gansemans,1996,Creating a context for african musical instruments,Museum International
W1662043995,article,0,"Russell D. Gray, Fiona M. Jordan",2000,Language trees support the express-train sequence of austronesian expansion,Nature
W2139382299,article,0,"Simon J. Greenhill, Thomas E. Currie, Russell D. Gray",2009,Does horizontal transmission invalidate cultural phylogenies?,Proceedings Of The Royal Society B Biological Sciences
W1982317895,article,0,"C. R. Guglielmino, C Viganotti, Bonnie L. Hewlett, L L Cavalli-Sforza",1995,Cultural variation in africa: role of mechanisms of transmission and adaptation.,Proceedings Of The National Academy Of Sciences
W2797876989,article,0,"Erich Moritz von Hornbostel, Curt Sachs",1961,Classification of musical instruments: translated from the original german by anthony baines and klaus p. Wachsmann,The Galpin Society Journal
W2182491194,article,1,Henry Johnson,2024,"An ethnomusicology of musical instruments: form, function, and meaning",Oxford University Research Archive (Ora) (University Of Oxford)
W4289261601,article,0,"Ezequiel Koile, Simon J. Greenhill, Damián E. Blasí, Remco Bouckaert, Russell D. Gray",2022,Phylogeographic analysis of the bantu language expansion supports a rainforest route,Proceedings Of The National Academy Of Sciences
W2069311415,article,0,"Katharine Cartwright Oppenheim, Gerhard Kubik",1995,Theory of african music,Yearbook For Traditional Music
W2797635606,article,1,Bo Lawergren,1981,Acoustics and evolution of arched harps,The Galpin Society Journal
W2324734435,article,1,"Sylvie Le Bomin, Guillaume Lecointre, Évelyne Heyer",2016,The evolution of musical diversity: the key role of vertical transmission,Plos One
W2039180872,article,0,Madeleine Leclair,2007,La musique et ses instruments au musée du quai branly,La Lettre De L’ocim
W3161656912,article,0,"Dieter Lukas, Mary C. Towner, Monique Borgerhoff Mulder",2021,The potential to infer the historical pattern of cultural macroevolution,Philosophical Transactions Of The Royal Society B Biological Sciences
W2136140148,article,0,"Charles L. Nunn, Christian Arnold, Luke J. Matthews, Monique Borgerhoff Mulder",2010,Simulating trait evolution for cross-cultural comparison,Philosophical Transactions Of The Royal Society B Biological Sciences
W4399047428,article,1,"Cecilia Padilla‐Iglesias, Javier Blanco-Portillo, Bogdan Pricop, Alexander Ioannidis, Balthasar Bickel, Andrea Manica, Lucio Vinicius, Andrea Bamberg Migliano",2024,Deep history of cultural and linguistic evolution among central african hunter-gatherers,Nature Human Behaviour
W2313218993,article,1,"Norman I. Platnick, H. D. Cameron",1977,"Cladistic methods in textual, linguistic, and phylogenetic analysis",Systematic Biology
W4224438831,article,0,"Valentin Rineau, Marie‐Hélène Moncel, Valéry Zeitoun",2022,Revealing evolutionary patterns behind homogeneity: the case of the palaeolithic assemblages from notarchirico (southern italy),Journal Of Archaeological Method And Theory
W2059580249,article,0,Hervé Rivière,1999,Notes sur l'instrumentarium musical des ntumu du cameroun,Journal Des Africanistes
W2189663021,article,1,Peter Robinson,2015,Four rules for the application of phylogenetics in the analysis of textual traditions,Digital Scholarship In The Humanities
W2024877642,article,1,"Caroline Macé, Thomas Schmidt, Jean-François Weiler",2003,Le classement des manuscrits par la statistique et la phylogénétique : le cas de grégoire de nazianze et de basile le minime,Revue D Histoire Des Textes
W254861666,article,0,Susanne Fürniß,1994,"Harpes et harpistes du haut-oubangui. Paris : université de paris x, 1994",Cahiers D’ethnomusicologie. Anciennement Cahiers De Musiques Traditionnelles
W2056358159,article,0,"Michael Les Benedict, Eric Foner",1989,"Reconstruction: america's unfinished revolution, 1863-1877",Journal Of American History
W2116345125,article,0,"James Steele, Peter Jordan, Ethan E. Cochrane",2010,Evolutionary approaches to cultural and linguistic diversity,Philosophical Transactions Of The Royal Society B Biological Sciences
W4372779085,book-chapter,1,"Sylvie Le Bomin, Deleted Author ID",2023,Studying the diversity of central african harps,Hal (Le Centre Pour La Communication Scientifique Directe)
W2108960350,article,1,"Ilya Tëmkin, Niles Eldredge",2007,Phylogenetics and material cultural evolution,Current Anthropology
W1997490908,article,0,M Gerli,1984,« El castillo interior » y el « arte de la memoria ».,Bulletin Hispanique
W2801025414,article,1,Klaus P. Wachsmann,1964,Human migration and african harps,Journal Of The International Folk Music Council
W1811781384,article,0,"James R. Griesemer, Robert Boyd, Peter J. Richerson",1986,Culture and the evolutionary process,Ornithological Applications
W3014178848,article,0,"Lei Cai, Kevin D. Hyde, P. W. J. Taylor, Bevan Weir, J. M. Waller, Mathew M. Abang, J. Z. Zhang, Yibo Yang, Sitthisack Phoulivong, Z. Y. Liu, H. Prihastuti, Roger G. Shivas, E. H. C. McKenzie, Peter R. Johnston",2009,A polyphasic approach for studying colletotrichum,Queensland Department Of Agriculture And Fisheries Archive Of Scientific And Research Publications (Queensland Department Of Agriculture And Fisheries)
W3014737019,review,1,Chris Buckley,2020,Japanese boatbuilders and the transmission of traditional culture,Evolutionary Anthropology Issues News And Reviews
W2618771780,article,1,"Chris Buckley, Eric Boudot",2017,The evolution of an ancient technology,Royal Society Open Science
W2298664606,article,1,Ethan E. Cochrane,2015,Phylogenetic analysis of polynesian ritual architecture suggests extensive cultural sharing and innovation,Journal Of The Polynesian Society
W2013037015,article,0,"W. J. Rorabaugh, Michael W. Coy",1991,Apprenticeship: from theory to method and back again,Technology And Culture
W2279820027,article,0,Roy Dilley,1987,Myth and meaning and the tukolor loom,Man
W2127369257,article,0,William H. Durham,1992,Applications of evolutionary culture theory,Annual Review Of Anthropology
W607371016,book,1,Geneviève Duggan,2001,Ikats of savu: women weaving history in eastern indonesia,Medical Entomology And Zoology
W3004605697,article,0,Roxana Waterson,2020,Savu: history and oral tradition on an island of indonesia,The Asia Pacific Journal Of Anthropology
W2131290019,article,0,"Jelmer W. Eerkens, Carl P. Lipo",2005,"Cultural transmission, copying errors, and the generation of variation in material culture and the archaeological record",Journal Of Anthropological Archaeology
W3162190608,review,0,"Cara L. Evans, Simon J. Greenhill, Joseph Watts, Johann‐Mattis List, Carlos A. Botero, Russell D. Gray, Kathryn R. Kirby",2021,The uses and abuses of tree thinking in cultural evolution,Philosophical Transactions Of The Royal Society B Biological Sciences
W2096334794,article,0,"Joe Henrich, Robert Boyd",1998,The evolution of conformist transmission and the emergence of between-group differences,Evolution And Human Behavior
W310289682,book,0,Michael Howard,2006,Bark-cloth in southeast asia,Medical Entomology And Zoology
W1971410047,article,1,"Peter Jordan, Stephen Shennan",2003,"Cultural transmission, language, and basketry traditions amongst the california indians",Journal Of Anthropological Archaeology
W3142207451,book-chapter,0,"Peter Jordan, Thomas A. Mace",2022,"Gendered technology, kinship, and cultural transmission among salish-speaking communities on the pacific northwest coast:",University Of Arizona Press Ebooks
W2145460993,article,1,"Peter Jordan, Sean O’Neill",2010,Untangling cultural inheritance: language diversity and long-house architecture on the pacific northwest coast,Philosophical Transactions Of The Royal Society B Biological Sciences
W2148988793,article,0,David F. Lancy,2012,“First you must master pain”: the nature and purpose of apprenticeship,Anthropology Of Work Review
W2165276399,article,0,"Hannah M. Lewis, Kevin N. Laland",2012,Transmission fidelity is the key to the build-up of cumulative culture,Philosophical Transactions Of The Royal Society B Biological Sciences
W2339046613,article,1,Elmer L. Clark,2002,"Openness, secrecy, authorship: technical arts and the culture of knowledge from antiquity to the renaissance",History Reviews Of New Books
W2568175862,article,1,Stephen J. Lycett,2015,Differing patterns of material culture intergroup variation on the high plains: quantitative analyses of parfleche characteristics vs. Moccasin decoration,American Antiquity
W2734330376,article,1,Stephen J. Lycett,2017,Cultural patterns within and outside of the post-contact great plains as revealed by parfleche characteristics: implications for areal arrangements in artifactual data,Journal Of Anthropological Archaeology
W2507209509,article,1,"Stephen J. Lycett, Noreen von Cramon‐Taubadel",2016,Transmission of biology and culture among post-contact native americans on the western great plains,Scientific Reports
W2107916451,review,0,"Ruth Mace, Fiona M. Jordan",2011,Macro-evolutionary studies of cultural diversity: a review of empirical studies of cultural transmission and cultural adaptation,Philosophical Transactions Of The Royal Society B Biological Sciences
W3172660039,dissertation,0,Trevor H.J. Marchand,2020,"Moulding minaret makers: a study of apprenticeship and spatial cognition with traditional builders in sana'a, yemen.",Center For International And Regional Studies (Georgetown University)
W2138385666,article,1,"Luke J. Matthews, Jamshid J. Tehrani, Fiona M. Jordan, Mark Collard, Charles L. Nunn",2011,Testing for divergent transmission histories among cultural characters: a study using bayesian phylogenetic methods and iranian tribal textile data,Plos One
W2163037133,article,0,"Michael J. O’Brien, Mark Collard, Briggs Buchanan, Matthew Boulanger",2013,"Trees, thickets, or something in between? Recent theoretical and empirical work in cultural phylogeny",Israel Journal Of Ecology And Evolution
W2041007800,article,1,"Richard Pocklington, Michael L. Best",1997,Cultural evolution and units of selection in replicating text,Journal Of Theoretical Biology
W2084972471,article,0,"Anna Marie Prentiss, Matthew J. Walsh, Thomas A. Foor, Kristen Barnett",2015,Cultural macroevolution among high latitude hunter–gatherers: a phylogenetic study of the arctic small tool tradition,Journal Of Archaeological Science
W2157173755,article,1,"Deborah S. Rogers, Marcus W. Feldman, Paul R. Ehrlich",2009,Inferring population histories using cultural data,Proceedings Of The Royal Society B Biological Sciences
W2766248194,article,1,"Valentine Roux, Blandine Bril, Jessie Cauliez, Anne-Lise Goujon, Catherine Lara, Claire Manen, Geoffroy de Saulieu, Étienne Zangato",2017,"Persisting technological boundaries: social interactions, cognitive correlations and polarization",Journal Of Anthropological Archaeology
W2581320081,book-chapter,0,"S Shennan, Joel Dorman Steele",1999,Cultural learning in hominids: a behavioural ecological approach,Ucl Discovery (University College London)
W573813230,article,0,"Hilary O. Box, Kathleen R. Gibson",1999,Mammalian social learning : comparative and ecological perspectives,Medical Entomology And Zoology
W2054189004,article,1,"Jamshid J. Tehrani, Mark Collard",2002,Investigating cultural evolution through biological phylogenetic analyses of turkmen textiles,Journal Of Anthropological Archaeology
W429499397,book-chapter,1,"Jamshid J. Tehrani, Mark Collard",2013,Do transmission isolating mechanisms (trims) influence cultural evolution? Evidence from patterns of textile diversity within and between iranian tribal groups.,Durham Research Online (Durham University)
W2120614609,article,1,"Jamshid J. Tehrani, Mark Collard, Stephen Shennan",2010,The cophylogeny of populations and cultures: reconstructing the evolution of iranian tribal craft traditions using trees and jungles,Philosophical Transactions Of The Royal Society B Biological Sciences
W2300335891,article,0,Paul Tolstoy,2008,"Barkcloth, polynesia and cladistics: an update",Journal Of The Polynesian Society
W4237644850,article,0,Barbara McKean Parmenter,2018,Mahmoud darwish: literature and the politics of palestinian identity,Bustan The Middle East Book Review
W2790127371,article,0,"Noreen von Cramon‐Taubadel, Stephen J. Lycett",2018,Assessing the relative impact of historical divergence and inter-group transmission on cultural patterns: a method from evolutionary ecology,Philosophical Transactions Of The Royal Society B Biological Sciences
W2323411321,article,1,Samuel P. Bayard,1950,Prolegomena to a study of the principal melodic families of british-american folk song,Journal Of American Folklore
W2771308870,article,1,"Dimitrios Bountouridis, Daniel G. Brown, Frans Wiering, Remco C. Veltkamp",2017,Melodic similarity and applications using biologically-inspired techniques,Applied Sciences
W2252634622,book-chapter,0,"Ruben Hillewaere, Bernard Manderick, Darrell Conklin",2013,Alignment methods for folk tune classification,"Studies In Classification, Data Analysis, And Knowledge Organization"
W2609545421,article,0,"Berit Janssen, P. van Kranenburg, Anja Volk",2017,Finding occurrences of melodic segments in folk songs employing symbolic similarity measures,Journal Of New Music Research
W2062824974,article,1,"Marcel Mongeau, David Sankoff",1990,Comparison of musical sequences,Computers And The Humanities
W2952204195,preprint,0,"Francisco Gómez, Joaquín Mora, Emília Gómez, José Miguel Díaz-Báñez",2022,Melodic contour and mid-level global features applied to the analysis of flamenco cantes,Arxiv (Cornell University)
W4283455585,article,1,"Yuri Nishikawa, Yasuo Ihara",2022,Cultural transmission of traditional songs in the ryukyu archipelago,Plos One
W4396791935,article,1,"Sam Passmore, Anna L. Wood, Chiara Barbieri, Dor Shilton, Hideo Daikoku, Quentin D. Atkinson, Patrick E. Savage",2024,Global musical diversity is largely independent of linguistic and genetic histories,Nature Communications
W2912128212,article,1,Patrick E. Savage,2019,Cultural evolution of music,Palgrave Communications
W2407295718,article,1,"Patrick E. Savage, Quentin D. Atkinson",2018,Automatic tune family identification by musical sequence alignment.,Zenodo (Cern European Organization For Nuclear Research)
W4210524136,article,1,"Patrick E. Savage, Sam Passmore, Gakuto Chiba, Thomas E. Currie, Haruo Suzuki, Quentin D. Atkinson",2022,Sequence alignment of folk song melodies reveals cross-cultural regularities of musical evolution,Current Biology
W2029033774,article,1,"P. van Kranenburg, Anja Volk, Frans Wiering",2012,A comparison between global and local features for computational classification of folk song melodies,Journal Of New Music Research
W597088239,article,0,盛彬 山内,1959,琉球の音楽芸能史 = the history of musical culture in ryūkyū,Medical Entomology And Zoology
W4412544758,article,1,"Yuri Nishikawa, Yasuo Ihara",2025,Exploring factors for melodic diversification of folk songs in the ryukyu archipelago,Evolutionary Human Sciences
W2951423025,article,0,Ryan Baldini,2015,Revisiting the effect of population size on cumulative cultural evolution,Journal Of Cognition And Culture
W4392665955,article,0,"Bret Beheim, Adrian V. Bell",2024,Why cultural distance can promote – or impede – group-beneficial outcomes,Evolutionary Human Sciences
W4378781204,article,0,"James M. Borg, Andrew Buskell, Rohan Kapitány, Simon T. Powers, Eva Reindl, Claudio Tennie",2023,Evolved open-endedness in cultural evolution: a new dimension in open-ended evolution research,Artificial Life
W4388835050,review,0,"Levin Brinkmann, Fabian Baumann, Jean‐François Bonnefon, Maxime Derex, Thomas Müller, Anne-Marie Nußberger, Agnieszka Czaplicka, Alberto Acerbi, Thomas L. Griffiths, Joseph Henrich, Joel Z. Leibo, Richard McElreath, Pierre-Yves Oudeyer, Jonathan Stray, Iyad Rahwan",2023,Machine culture,Nature Human Behaviour
W2052332926,article,0,"Christine A. Caldwell, Amy E. Millen",2010,Human cumulative culture in the laboratory: effects of (micro) population size,Learning & Behavior
W4226126729,article,0,"Dominik Deffner, Anne Kandler, Laurel Fogarty",2022,Effective population size for culturally evolving traits,Plos Computational Biology
W2785722028,article,0,"Maxime Derex, Charles Perreault, Robert Boyd",2018,Divide and conquer: intermediate levels of population fragmentation maximize cultural accumulation,Philosophical Transactions Of The Royal Society B Biological Sciences
W4304692435,article,1,"Salva Duran‐Nebreda, Michael J. O’Brien, R. Alexander Bentley, Sergi Valverde",2022,Dilution of expertise in the rise and fall of collective innovation,Humanities And Social Sciences Communications
W4408399347,article,0,"Henry Farrell, Alison Gopnik, Cosma Rohilla Shalizi, James Evans",2025,Large ai models are cultural and social technologies,Science
W4404469936,article,0,"Laurel Fogarty, Anne Kandler, Nicole Creanza, Marcus W. Feldman",2024,Half a century of quantitative cultural evolution,Proceedings Of The National Academy Of Sciences
W2964203040,article,1,"Cristian Jara-Figueroa, Amy Yu, César A. Hidalgo",2019,How the medium shapes the message: printing and the rise of the arts and sciences,Plos One
W2916215406,article,0,"Ángel V. Jiménez, Alex Mesoudi",2019,Prestige-biased social learning: current evidence and outstanding questions,Palgrave Communications
W4213062543,article,1,"Mike Kestemont, Folgert Karsdorp, Elisabeth de Bruijn, Matthew James Driscoll, Katarzyna Anna Kapitan, Pádraig Ó Macháin, Daniel Sawyer, Remco Sleiderink, Anne Chao",2022,Forgotten books: the application of unseen species models to the survival of culture,Science
W2111781023,article,0,"Michelle A. Kline, Robert Boyd",2010,Population size predicts technological complexity in oceania,Proceedings Of The Royal Society B Biological Sciences
W1944072936,article,0,"Sarah Mathew, Charles Perreault",2015,Behavioural variation in 172 small-scale societies indicates that social learning is the main mode of human adaptation,Proceedings Of The Royal Society B Biological Sciences
W4402698746,preprint,0,"J. Michael McBride, Nahie Kim, Yuri Nishikawa, Mekhmed Saadakeev, Marcus T. Pearce, Tsvi Tlusty",2025,"Code and data for ""information and motor constraints shape melodic diversity across cultures""",Arxiv (Cornell University)
W4382197656,article,0,"Paul E. Smaldino, Cody James Moser, Alejandro Pérez Velilla, Mikkel Werling",2023,Maintaining transient diversity is a general principle for improving collective problem solving,Perspectives On Psychological Science
W4409523584,letter,0,"Paul E. Smaldino, Adam Russell, Matthew Zefferman, Judith Donath, Jacob G. Foster, Douglas Guilbeault, Martin Hilbert, Elizabeth A. Hobson, Kristina Lerman, Helena Miton, Cody James Moser, Jana Lasser, Sonja Schmer-Galunder, Jacob N. Shapiro, Qiankun Zhong, Dan Patt",2025,Information architectures: a framework for understanding socio-technical systems,Npj Complexity
W4226302706,article,1,"Sally E. Street, Tuomas Eerola, Jeremy Kendal",2022,The role of population size in folk tune complexity,Humanities And Social Sciences Communications
W3133518617,article,1,"N.-Han Tran, Timothy M. Waring, Silke Atmaca, Bret Beheim",2021,Entropy trade-offs in artistic design: a case study of tamil<i>kolam</i>,Evolutionary Human Sciences
W2502433411,review,1,Sergi Valverde,2016,Major transitions in information technology,Philosophical Transactions Of The Royal Society B Biological Sciences
W4309154615,article,0,"Blai Vidiella, Simon Carrignon, R. Alexander Bentley, Michael J. O’Brien, Sergi Valverde",2022,A cultural evolutionary theory that explains both gradual and punctuated change,Journal Of The Royal Society Interface
W2005335880,article,0,"Søren Wichmann, Eric W. Holman",2009,Population size and rates of language change,Human Biology
W2976578518,article,1,Mason Youngblood,2019,Conformity bias in the cultural transmission of music sampling traditions,Royal Society Open Science
